COUNTRY;LEAGUE;STANDINGS_OVERALL;FORM_LAST_5_OVERALL;FORM_LAST_10_OVERALL
PORTUGAL;Liga Portugal;https://www.flashscore.com/football/portugal/liga-portugal/standings/;https://www.flashscore.com/football/portugal/liga-portugal/form/;https://www.flashscore.com/football/portugal/liga-portugal/form/
ROMANIA;Liga 1;https://www.flashscore.com/football/romania/liga-1/standings/;https://www.flashscore.com/football/romania/liga-1/form/;https://www.flashscore.com/football/romania/liga-1/form/
ROMANIA;Superliga;https://www.flashscore.com/football/romania/superliga/standings/;https://www.flashscore.com/football/romania/superliga/form/;https://www.flashscore.com/football/romania/superliga/form/
RUSSIA;Premier League;https://www.flashscore.com/football/russia/premier-league/standings/;https://www.flashscore.com/football/russia/premier-league/form/;https://www.flashscore.com/football/russia/premier-league/form/
SCOTLAND;Championship;https://www.flashscore.com/football/scotland/championship/standings/;https://www.flashscore.com/football/scotland/championship/form/;https://www.flashscore.com/football/scotland/championship/form/
SCOTLAND;League One;https://www.flashscore.com/football/scotland/league-one/standings/;https://www.flashscore.com/football/scotland/league-one/form/;https://www.flashscore.com/football/scotland/league-one/form/
SCOTLAND;League Two;https://www.flashscore.com/football/scotland/league-two/standings/;https://www.flashscore.com/football/scotland/league-two/form/;https://www.flashscore.com/football/scotland/league-two/form/
SCOTLAND;Premiership;https://www.flashscore.com/football/scotland/premiership/standings/;https://www.flashscore.com/football/scotland/premiership/form/;https://www.flashscore.com/football/scotland/premiership/form/
SPAIN;LaLiga;https://www.flashscore.com/football/spain/laliga/standings/;https://www.flashscore.com/football/spain/laliga/form/;https://www.flashscore.com/football/spain/laliga/form/
SPAIN;LaLiga 2;https://www.flashscore.com/football/spain/laliga2/standings/;https://www.flashscore.com/football/spain/laliga2/form/;https://www.flashscore.com/football/spain/laliga2/form/
SWEDEN;Allsvenskan;https://www.flashscore.com/football/sweden/allsvenskan/standings/;https://www.flashscore.com/football/sweden/allsvenskan/form/;https://www.flashscore.com/football/sweden/allsvenskan/form/
SWITZERLAND;Super League;https://www.flashscore.com/football/switzerland/super-league/standings/;https://www.flashscore.com/football/switzerland/super-league/form/;https://www.flashscore.com/football/switzerland/super-league/form/
TURKEY;Super Lig;https://www.flashscore.com/football/turkey/super-lig/standings/;https://www.flashscore.com/football/turkey/super-lig/form/;https://www.flashscore.com/football/turkey/super-lig/form/
USA;MLS;https://www.flashscore.com/football/usa/mls/standings/;https://www.flashscore.com/football/usa/mls/form/;https://www.flashscore.com/football/usa/mls/form/
